code,title,credits,description,prerequisites
AE 2802,Special Topics,2,Normally taken by sophomores. Course material is devoted to special topics in aerospace engineering.,
AE 2803,Special Topics,3,Normally taken by sophomores. Course material devoted to special topics in aerospace engineering.,
AE 3030,Aerodynamics,4,"Aerodynamics of airfoils and wings in subsonic, transonic and supersonic flight. Laminar and turbulent boundary layers and effects of viscosity on aerodynamic performance.",
AE 3030R,Aerodynamics Recitation,0,Recitation course for AE 3030 .,
AE 3090,Numerical Methods for Aerospace Engineering,3,"Basic numerical methods in Aerospace Engineering taught in Fortran or C, language instruction included.  Numerical integration, interpolation, FFT, linear algebra, initial and boundary value problems.",
AE 3140,Structural  Analysis,3,"Application to structural analysis. Basic equations of elasticity. Bending, shearing and torsion of thin walled structures. Energy methods for structural analysis and application to finite element theory for trusses and beam structures. Students cannot receive credit for both AE 3140 and",Credit restriction: AE 3140 and; Credit restriction: both AE 3140 and
AE 3330,Introduction to Aerospace Vehicle Performance,3,"Orbital mechanics, orbit determination, and spacecraft maneuvers. Basics of airplane flight including climb, cruise, takeoff, and landing. Actuator disk theory and elements of rotorcraft performance.",
AE 3340,Design and Systems Engineering Methods,2,Overview of aerospace design and systems engineering. Tools to organize the design process and to support design decisions. Introduction to numerical optimization and trade studies.,
AE 3355,Aerospace Systems Design Competition III,3,"Team-oriented aerospace systems design project directed by a faculty advisor. Typically a national student competition in aircraft, rotorcraft, or spacecraft design.  Technical or leadership role commensurate with junior standing.",
AE 3450,Thermodynamics and Compressible Flow,3,First and second laws of thermodynamics. Thermodynamic properties and state equations. Isentropic flow. Flows with shocks and expansions.  Flows with friction and heat transfer. Students cannot receive credit for both AE 3450 and AE 2010 .,Credit restriction: AE 3450 and AE 2010; Credit restriction: both AE 3450 and AE 2010
AE 3530,System Dynamics and Vibration,3,"Modeling and analysis of lumped- and distributed-parameter systems, free and forced vibration in mechanical systems, free vibration in structural systems. Students cannot receive credit for both AE 3530 and ME 3017 or AE 3530 and",Credit restriction: AE 3530 and ME 3017 or AE 3530 and; Credit restriction: both AE 3530 and ME 3017 or AE 3530 and
AE 3531,Control System Analysis and Design,3,"Control system performance analysis and specifications, classical methods of control system analysis and design, introduction to modern control methods. Students cannot receive credit for AE 3531 and AE 3515 or AE 3531 and ME 4452 .",Credit restriction: AE 3531 and AE 3515 or AE 3531 and ME 4452
AE 3610,Experiments in Fluid and Solid Mechanics,2,"Experimental laboratory in solid and fluid mechanics, aerodynamics, propulsion. Emphasis on measurement techniques, analysis and interpretation of data, comparison to analytical predictions, and reporting.",
AE 3801,Special Topics,1,Normally taken by juniors. Course material devoted to special topics in aerospace engineering.,
AE 3802,Special Topics,2,Normally taken by juniors. Course material devoted to special topics in aerospace engineering.,
AE 3803,Special Topics,3,Normally taken by juniors. Course material devoted to special topics in aerospace engineering.,
AE 4040,Computational Fluid Dynamics,3,"Discretization of PDEs, stability and accuracy considerations, iterative and time/space marching schemes, aerospace applications.",
AE 4060,Aeroacoustics,3,"Concepts and techniques, noise sources, data acquisition and reduction, aeroacoustic resonances, commonalities in the music of wind instruments and sources of aircraft noise, community impact.",
AE 4070,Introduction to Propeller and Rotor Theory,3,A study of the theory and equations used in the design of propellers and helicopter rotors.,
AE 4071,Rotorcraft Aeromechanics,3,"Basic rotor aerodynamics and dynamics, helicopter performance and trim, introduction to helicopter stability, control and vibration.",
AE 4080,Aerothermodynamics,3,"Convective heat transfer and viscous drag in high- temperature and high-speed flowfields. Inviscid hypersonic theory, real gas effects, and wall thermal protection strategies.",
AE 4132,Finite Element Analysis,3,An introduction to classical approximation techniques and the fundamentals of the finite element-method applied to structures and structural dynamics with aerospace applications.,
AE 4170,Structural Integrity and Durability,3,"Multiaxial stress states, inelasticity in metals and polymers, yield criteria, metal fatigue, fracture, stress intensity factors, fracture toughness, fatigue crack growth, metal creep, and polymer viscoelasticity.",
AE 4220,Structural Dynamics and Aeroelasticity,3,"Structural dynamics of one-dimensional systems. Analysis of static aeroelastic phenomena, unsteady aerodynamics, and flutter.  Equations of motion for complete aeroelastic systems; solution techniques.",
AE 4311,Aircraft Design I: Conceptual Design,3,Conceptual design and synthesis of fixed wing aircraft.,
AE 4312,Aircraft Design II: Preliminary Design,3,Preliminary design and synthesis of fixed wing aircraft.,
AE 4321,Space System Design I: Conceptual Design,3,Conceptual design and synthesis of space systems. Students apply mission and spacecraft design principles.,
AE 4322,Space System Design II: Mission Design,3,Advanced design applications of space systems. Students apply mission and spacecraft design principles.,
AE 4331,Rotorcraft Design I: Conceptual Design,3,"Conceptual design of traditional, urban air mobility, unmanned rotorcraft vehicles.",
AE 4332,Rotorcraft Design II: Preliminary Design,3,"Preliminary design of traditional, urban air mobility, unmanned rotorcraft vehicles.",
AE 4341,Aircraft Design,3,"Aircraft Vehicle Design. Preliminary design or case study of a complete flight vehicle, including a propulsion system, a structural system, and a control system. Students cannot receive credit for both AE 4341 and",Credit restriction: AE 4341 and; Credit restriction: both AE 4341 and
AE 4342,Space System Design,3,Spacecraft subsystems and synthesis. Students apply mission and spacecraft design principles in developing a space flight mission concept. Topics may vary. Students cannot receive credit for AE 4342 and,Credit restriction: AE 4342 and
AE 4343,Rotorcraft Design,3,"Rotorcraft Vehicle Design. Preliminary design or case study of a complete rotorcraft flight vehicle, including a propulsion system, a structural system, and a control system. Students cannot receive credit for both AE 4343 and AE 4358 or AE 4343 and AE 6333 .",Credit restriction: AE 4343 and AE 4358 or AE 4343 and AE 6333; Credit restriction: both AE 4343 and AE 4358 or AE 4343 and AE 6333
AE 4355,Aerospace Systems Design Competition IV,3,"Team-oriented aerospace systems design project directed by a faculty advisor.  Typically a national student competition in aircraft, rotorcraft, or spacecraft design. Technical or leadership role commensurate with senior standing.",
AE 4361,Space Flight Operations,3,This course introduces the foundations and analysis of space flight operations for human and robotic space missions.,
AE 4370,Life Cycle Cost Analysis,3,"Modeling of total cost of complex systems over their entire life cycle.  Modeling risk uncertainty for complex energy, environmental, and military systems.",
AE 4376,Accident Causation and System Safety,2,This course provides an in-depth examination of the multi-disciplinary issues in accident causation and system safety (prevention) across different industries.,
AE 4451,Jet and Rocket Propulsion,3,Principles of aerospace propulsion systems. Thermodynamic cycles. Thermodynamics of combustion. Turbine engine and rocket performance characteristics. Cycle/component analysis of engines and turbomachinery.,
AE 4453,Advanced Aircraft Propulsion,3,"Analysis, preliminary design of turbomachinery and combustors for aircraft; engine design, off-design performance. Introduction to advanced architectures: including scramjets, pressure gain combustion, electric propulsion.",
AE 4461,Introduction to Combustion,3,"Basics of combustion and combustion devices. Chemical thermodynamics, reaction rates, premixed/nonpremixed flames, ignition, stabilization, and pollutants.  Applications in turbine, rocket, and internal combustion engines.",
AE 4531,Aircraft Flight Dynamics,3,"Three-dimensional rigid body dynamics, aircraft equations of motion, static and dynamic stability, flight control design, introduction to aeroelastic phenomena. Students cannot receive credit for both AE 4531 and",Credit restriction: AE 4531 and; Credit restriction: both AE 4531 and
AE 4532,Spacecraft Flight Dynamics,3,"Cover fundamental material in orbit and attitude dynamics. Investigate orbits, rendezvous/intercept maneuvers, interplanetary transfers, attitude coordinates, attitude stability, attitude control, and attitude estimation. Students cannot receive credit for both AE 4532 and",Credit restriction: AE 4532 and; Credit restriction: both AE 4532 and
AE 4552,Introduction to Humans & Autonomy,3,"Learn the fundamental principles underlying the functions performed by humans and by autonomous systems in dynamic, complex domains. Credit will not be awarded for both AE 4552 and",
AE 4580,Introduction to Avionics Integration,3,"Avionics in modern aerospace vehicle systems, including impact on design and performance. Specific case-studies; covers: navigation, GPS, stability augmentation, radar, health monitoring, databases, human factors, and software.",
AE 4610,Dynamics and Control Laboratory,2,Experiments in dynamics and control related to aerospace engineering topics.,
AE 4701,Wind Engineering,3,An introductory course on wind energy and its potential; modeling and design of wind turbines; analysis of the economic benefits of wind turbine systems.  Credit not allowed for both AE 4701 and ME 4701 .,Credit restriction: AE 4701 and ME 4701; AE 4701 and ME 4701
AE 4757,Biofluid Mechanics,3,Introduction to the study of blood flow in the cardiovascular system.  Emphasis on modeling and the potential of flow studies for clinical research application. Crosslisted with CHE and ME 4757 .,CHE and ME 4757
AE 4758,Biosolid Mechanics,3,"The mechanics of living tissue, e.g., arteries, skin, heart muscle, ligament, tendon, cartilage, and bone.  Constitutive equations and some simple mechanical models. Mechanics of cells. Applications. Crosslisted with CHE and ME 4758 .",CHE and ME 4758
AE 4760,Engineering Acoustics and Noise Control,3,"Study of acoustics related to noise and its control; acoustics terminology wave propagation, wave equation solutions, instrumentation, data processing, room acoustics, noise control, noise legislation. Crosslisted with ME 4760 .",ME 4760
AE 4791,Mechanical Behavior of Composites,3,"Stress-strain behavior of composites, property of matrix and reinforcing materials, mechanics of fiber-reinforced composites, lamina and laminate analysis, and mechanical performance.  Crosslisted with CEE, CHE, ME, MSE, and PTFE 4791.","CEE, CHE, ME, MSE, and PTFE 4791"
AE 4793,Composite Materials and Processes,3,"Basic principles of selection and design of composite materials and their manufacturing and testing. Cost factors. Laboratory exercises on manufacturing and tests. Crosslisted with CEE, CHE, ME, MSE, and PTFE 4793.","CEE, CHE, ME, MSE, and PTFE 4793"
AE 4794,Composite Materials and Manufacturing Testing,4,"Basic principles of selection and sign of composite materials and their manufacturing and testing. Cost factors. Laboratory exercises on manufacturing and tests. Crosslisted with CEE, CHE, ME, MSE, and PTFE 4794.","CEE, CHE, ME, MSE, and PTFE 4794"
AE 4801,Special Topics,1,Normally taken by seniors.  Course material devoted to special topics in aerospace engineering.,
AE 4802,Special Topics,2,Normally taken by seniors. Course material devoted to special topics in aerospace engineering.,
AE 4803,Special Topics,3,Normally taken by seniors.  Course material devoted to special topics in aerospace engineering.,
AE 4804,Special Topics,4,Normally taken by seniors.  Course material devoted to special topics in aerospace engineering.,
AE 4806,Special Topics,3,Special Topics.,
AE 4863,Special Topics,3,Special Topics in Aerospace Engineering.,
AE 4864,Special Topics,4,Special Topics in Aerospace Engineering.,
AE 4883,Special Topics,3,,
AE 6009,Viscous Fluid Flow,3,"Fundamental conservation laws.  Laminar flows, wall-bound and free shear flows. Separation, heat transfer, and compressibility effects. Introduction to flow instability and transition to turbulence.",Graduate standing required
AE 6012,Turbulent Flows,3,"Basic characteristics of turbulence.  Statistical methods. Reynolds averaging, kinetic energy budget, and scaling issues.  Homogeneity and isotrophy.  Free and wall bounded shear flows. Simulation and modeling.",Graduate standing required
AE 6015,Advanced Aerodynamics,3,"Introduce concepts, derivation and application of aerodynamic fundamentals. Emphasis on advanced knowledge in analysis and design of fixed-wing, launch/atmospheric return vehicles, and rotating systems.",Graduate standing required
AE 6020,High-Speed Flow,3,Transonic small disturbance theory. Transonic potential flow modeling. Supercritical airfoil design. Physics of hypersonic flow.  Newtonian flow. Modeling of hypersonic viscous and inviscid flow.,Graduate standing required
AE 6030,Unsteady Aerodynamics,3,Unsteady potential theory for various speed ranges. Calculation of steady and unsteady aerodynamic loads on airfoils and wings.  Vortex flows. Topics of current research interest.,Graduate standing required
AE 6042,Computational Fluid Dynamics,4,"Finite-difference, finite volume methods for solution of Navier-Stokes and Euler equations. Classification of equations, stability, grids, boundary conditions, implicit and explicit methods, turbulence modeling.",Graduate standing required
AE 6050,High-temperature Gas Dynamics I,3,"Defining equations for compressible flows, real gas properties and their effect on the behavior of equilibrium and non-equilibrium flows.",Graduate standing required
AE 6060,Aeroacoustics,3,"Lighthill's theory of aerodynamic noise and extensions, flow/acoustic interactions, feedback phenomenon, supersonic jet noise, aeroacoustics of ducts, propeller noise, helicopter noise, sonic boom.",Graduate standing required
AE 6070,Rotary Wing Aerodynamics,3,Vortex wake modeling; analytical inflow theories; modern computational methods for rotary wing aerodynamic analysis; aerodynamic noise.,Graduate standing required
AE 6080,Dynamics of Turbulence,3,"Fundamental physics of turbulent flows.  Vorticity dynamics, Kolmogorov similarity hypotheses and nonlinear interactions. Mixing and dispersion. Direct and large-eddy simulations, Reynolds stress modeling.  Advanced topics.",Graduate standing required
AE 6100,Advanced Structural Analysis I,3,"Stability of elastic systems under quasi-static loads. Classical, kinetic, and potential energy approaches through rigid member models.  Buckling of elastic bars and frames. Energy methods.",Graduate standing required
AE 6106,Analysis of Aerospace Structural Elements,3,"This course focuses on the analysis of advanced aerospace structures. Beam theory is reviewed, plate theory is introduced.  Classical and energy solutions are presented.",Graduate standing required
AE 6114,Fundamentals of Solid Mechanics,3,"Unified overview of fundamental aspects of solid mechanics, from nonlinear continuum mechanics to linear elasticity, including an introduction to energy methods and other special topics.",Graduate standing required
AE 6115,Fundamentals of Aerospace Structural Analysis,3,"Overview and fundamentals of aerospace structural analysis, including virtual work and energy methods, buckling and advanced structural theories.",Graduate standing required
AE 6170,Structural Optimization,3,"Mathematical methods of constrained optimization, sensitivity analysis, approximation concepts, decomposition techniques, shape optimization in the context of structural design.",Graduate standing required
AE 6200,Advanced Aeroelasticity I,3,"Understanding and analysis of aeroelastic phenomena in fixed-wing aircraft, static aeroelasticity, dynamic aeroelasticity, and dynamic response and transient stresses in aircraft structures.",Graduate standing required
AE 6210,Advanced Dynamics I,3,"Kinematics of particles and rigid bodies, angular velocity, inertia properties, holonomic and nonholonomic constraints, generalized forces.",Graduate standing required
AE 6211,Advanced Dynamics II,3,"A continuation of AE 6210 .  Equations of motion, Newtonian frames, consistent linearization, energy and momentum integrals, collisions, mathematical representation of finite rotation.",Graduate standing required
AE 6220,Rotorcraft Structural Dynamics and Aeroelasticity,3,"Elementary blade dynamics, flap-lag dynamics, ground resonance, structural dynamics of rotating beams, nonlinear elastic blade analysis, harmonic balance and trim, Floquet theory.",Graduate standing required
AE 6230,Structural Dynamics,3,"Dynamic response of single-degree-of-freedom systems, Lagrange's equations; modal decoupling; vibration of Euler-Bernoulli and Timoshenko beams, membranes and plates.",Graduate standing required
AE 6270,Applied Nonlinear Dynamics,3,"Nonlinear vibration methods through averaging and multiple scales, bifurcation, periodic and quasi-periodic systems, transition to chaos, characterization of chaotic vibrations, thermodynamics of chaos, chaos control.",Graduate standing required
AE 6310,Optimization for the Design of Engineered Systems,3,"Introduction to optimization problem formulations for engineering design, algorithms for constrained nonlinear programming, multiobjective and multidisciplinary optimization, and robust design optimization.",Graduate standing required
AE 6333,Rotorcraft Design I,3,System approach to conceptual design of aerospace systems with emphasis on rotorcraft. Comprehensive methodologies for aerospace vehicle synthesis and sizing. Integration of technologies. Students cannot receive credit for both AE 6333 and AE 4343 .,Credit restriction: AE 6333 and AE 4343; Credit restriction: both AE 6333 and AE 4343; Graduate standing required
AE 6334,Rotorcraft Design II,4,Students work together on this application to complete the preliminary design stage of a specific rotorcraft. Participants are exposed to disciplinary and interdisciplinary issues.,Graduate standing required
AE 6343,Aircraft Design I,3,Stochastic approach to conceptual design of aerospace systems with emphasis on aircraft and missiles. Comprehensive methodologies for aerospace vehicle synthesis and sizing. Integration of technologies.,Graduate standing required
AE 6344,Aircraft Design II,4,Students work together on this application to complete the preliminary design stage of a specific aircraft or missile. Participants are exposed to disciplinary and interdisciplinary issues.,Graduate standing required
AE 6353,Orbital Mechanics,3,"First graduate-level astrodynamics class that includes two-body orbital mechanics, orbit determination, orbit prediction, orbital maneuvers, lunar and interplanetary trajectories, orbital rendzvous and space navigation.",Graduate standing required
AE 6355,"Planetary Entry, Descent and Landing",3,"Entry flight mechanics and dynamics, aerothermodynamics, thermal protection systems, aerodynamic decelerators, descent and landing.  Robotic and human exploration mission studies for aerobraking, planetary entry, aerocapture.",Graduate standing required
AE 6356,Spacecraft Attitude Estimation and Control,3,"Attitude representations, dynamics, estimation, and control. Spacecraft attitude sensors and actuators. Attitude determination and control topics applied to spacecraft and space missions.",Graduate standing required
AE 6361,Air Breathing Propulsion System Design I,3,"Air breathing propulsion design with emphasis on multidisciplinary design issues related to system integration, cycle selection, performance, cost, reliability, maintainability, etc.",Graduate standing required
AE 6362,Safety by Design,4,"Autonomous situational flight model allows students to examine complex behaviors in the ""pilot-vehicle-operational conditions"" system.  Flight certification and airworthiness requirements are mapped into formal scenarios.",Graduate standing required
AE 6372,Aerospace Systems Engineering,3,"Introduction to aerospace systems engineering. Systems engineering and quality engineering methods and tools. Top-down design decision support processes, computer integrated environments, Integrated Product/Process Development (IPPD).",Graduate standing required
AE 6373,Advanced Design Methods I,4,"Introduction to modern probabilistic design methods and techniques. Design of experiments, Taguchi methods, response surface equations, robust design, risk and uncertainty, technology assessment and selection.",Graduate standing required
AE 6383,Applied Design Laboratory,1,"Introduction to computing tools and processes used in subsequent applied design courses in graduate fixed wing, rotary wing, and space systems design tracks.",Graduate standing required
AE 6393,Introduction to System of Systems Engineering Principles,3,"Introduce students to the development and analysis of complex System of Systems, and their practical application to formulate Grand Challenge projects.",Graduate standing required
AE 6394,System of Systems Engineering Applications,4,Application of developed System of Systems analysis frameworks for the performance of Grand Challenge projects.,Graduate standing required
AE 6410,Combustion Dynamics,3,"Acoustic wave propagation in inhomogeneous flows, flame-acoustic wave interactions, and control of combustion-driven oscillations.",Graduate standing required
AE 6412,Turbulent Combustion,3,"Fundamentals of interaction between flow turbulence and reactive scalars.  Theoretical, numerical, and experimental methods. Physics of premixed, non-premixed, and partially premixed turbulent combustion.",Graduate standing required
AE 6440,Turbine Engine Aerothermodynamics,3,"Analysis and design of gas turbine engine components including axial flow compressors, turbines, inlets, and nozzles.  Heat transfer and turbine blade cooling.",Graduate standing required
AE 6450,Rocket Propulsion,3,"Analysis and design of rocket engines including liquid, solid, hybrid, and advanced propulsion systems.",Graduate standing required
AE 6451,Electric Propulsion,3,"The course provides a solid background of the operating principles, performance characteristics, and design features of the state-of-the-art electric propulsion systems.",Graduate standing required
AE 6503,Helicopter Stability and Control,3,"Helicopter general equations of motion, rotor forces and moments, helicopter stability and control characteristics, handling qualities, flight control system design.",Graduate standing required
AE 6505,Random Processes and Kalman Filtering,3,Probability and random variables and processes; correlation; shaping filters; simulation of sensor errors; Wiener filter; random vectors; covariance propagation; recursive least-squares; Kalman filter; extensions.,Graduate standing required
AE 6506,Aerospace Guidance and Navigation,3,Earth's shape and gravity. Introduction to inertial navigation. GPS aiding. Error analysis. Guidance systems. Analysis of the guidance loop. Estimation of guidance variables. Adjoint analysis.,Graduate standing required
AE 6511,Optimal Guidance and Control,3,Euler-Lagrange formulation; Hamilton-Jacobi approach; Pontryagin's minimum principle; Systems with quadratic performance index; Second variation and neighboring extremals; Singular solutions; numerical solution techniques.,Graduate standing required
AE 6513,Mathematical Principles of Planning and Decision-Making for Autonomy,3,"The course will introduce the students to the mathematical tools and the theory 
for formulating and solving problems that involve high-level decision-making for controlling and planning of autonomous systems with an emphasis on aerospace applications.",Graduate standing required
AE 6520,Advanced Flight Dynamics,3,"Reference frames and transformations, general equations of unsteady motion, application to fixed-wing, rotary-wing and space vehicles, stability characteristics, flight in turbulent atmosphere.",Graduate standing required
AE 6530,Multivariable Linear Systems and Control,3,"Techniques for analysis and description of multivariable linear systems. Tools for advanced feedback control design for these systems, including computational packages. Credit will not be awarded for both AE 6530 and ECE 6550 or AE 6530 and ME 6401 .",Graduate standing required
AE 6531,Aerospace Robust Control I,3,"Robustness issues in controller analysis and design. LQ analysis, H2 norm, LQR, LQG, uncertainty modeling, small gain theorem, H-infinity  performance, and the mixed-norm H2/H-infinity problem.",Graduate standing required
AE 6532,Aerospace Robust Control II,3,"Advanced treatment of robustness issues. Controller analysis and design for linear and nonlinear systems with structured and non-structured uncertainty. Reduced-order control, stability, multipliers, and mixed-mu.",Graduate standing required
AE 6534,Control of Aerospace Structures,3,"Advanced treatment of control of flexible structures. Topics include stability of multi-degree-of-freedom systems, passive and active absorbers and isolation, positive real models, and robust control for flexible structures.",Graduate standing required
AE 6551,Cognitive Engineering,3,"Cognitive engineering addresses a range of technologies and work environments that will support human cognitive performance, including information systems, decision support, automation, and intelligent systems.",Graduate standing required
AE 6580,Aerospace Nonlinear Control,3,"Advanced treatment of nonlinear robust control. Lyapunov stability theory, absolute stability, dissipativity, feedback linearization, Hamilton-Jacobi-Bellman theory, nonlinear H-infinity, backstepping control, and control Lyapunov functions.",Graduate standing required
AE 6701,Wind Engineering,3,An introductory course on wind energy and its potential; modeling and design of wind turbines; analysis of the economic benefits of wind turbine systems. Credit will not be awarded for both AE 6701 and ME 6701 .,Graduate standing required
AE 6705,Introduction to Mechatronics,4,Modeling and control of actuators and electro-mechanical systems. Performance and application of microprocessors and analog electronics to modern mechatronic systems.,Graduate standing required
AE 6721,Evaluation of Human Integrated Systems,3,"Evaluation of human integrated systems including translating research questions into measurable objectives, overview of evaluation methods and data analysis techniques applicable to such systems.  Credit not allowed for both AE 6721 and ISYE 6231 .",Credit restriction: AE 6721 and ISYE 6231; Graduate standing required; AE 6721 and ISYE 6231
AE 6760,Acoustics I,3,"Fundamental principles governing the generation, propagation, reflection, and transmission of sound waves in fluids.  Crosslisted with ME 6760 .",Graduate standing required; ME 6760
AE 6761,Acoustics II,3,"Radiation and scattering of sound waves in fluids, duct acoustics, dissipation phenomena. Crosslisted with ME 6761 .",Graduate standing required; ME 6761
AE 6762,Applied Acoustics,3,"Mufflers, resonators, acoustic materials, barriers, industrial noise, room acoustics, active noise control. Crosslisted with ME  6762.",Graduate standing required; ME  6762
AE 6765,Kinetics and Thermodynamics of Gases,4,"Thermodynamics of nonreacting and reacting gas mixtures. Introductory quantum theory, statistical thermodynamics, and gas kinetic theory. Crosslisted with ME 6765 .",Graduate standing required; ME 6765
AE 6766,Combustion,3,"Introductory chemical kinetics, detonations and deflagrations, laminar flame propagation in premixed gases, ignition and quenching, laminar diffusion flames and droplet burning, turbulent reacting flows. Crosslisted with ME 6766 .",Graduate standing required; ME 6766
AE 6769,Linear Elasticity,3,"Governing equations of linear elasticity, plane elasticity, boundary value problems, airy stress function and complex variable methods, simple three-dimensional solutions. Crosslisted with ME 6769 .",Graduate standing required; ME 6769
AE 6770,Energy and Variational Methods in Elasticity and Plasticity,3,"Applications of energy and variational methods in engineering mechanics to elastic, plastic, and dynamical behavior of deformable bodies.  Crosslisted with ME 6770 .",Graduate standing required; ME 6770
AE 6779,Dynamic System Simulation and Modeling,3,"Models of dynamic systems, such as aircraft, ground vehicles and machinery, and manual control.  Numerical simulation techniques and applications. Interactive simulators. Student programming project.  Crosslisted with ISYE 6779 . AE 6XXX.  Aerospace Engineering Elective.  1-21 Credit Hours.",Graduate standing required; ISYE 6779
AE 7741,Robotics Professional Preparation,1,Preparation for a professional career in Robotics. Local & visiting speakers. Program introduction. Technical resume preparation. GT Robotics labs & resources.,Graduate standing required
AE 7742,Robotics Professional Preparation 2,1,Preparation for a professional career in Robotics. Local & visiting speakers. Selecting and applying for Internship. Developing capstone project proposal. Public speaking practice and preparation.,Graduate standing required
AE 7743,Robotics Professional Preparation 3,1,Preparation for a professional career in Robotics. Local & visiting speakers. Interview preparation & career search. Technical report writing and presentation.,Graduate standing required
AE 7764,Acoustic Propagation,3,"Propagation of sound in inhomogeneous fluids; ray acoustics, ocean and atmospheric acoustics, nonlinear acoustics. Crosslisted with ME 7764 .",Graduate standing required; ME 7764
AE 7772,Fundamentals of Fracture Mechanics,3,"Advanced study of failure of structural materials under load, mechanics of fracture, and microscopic and macroscopic aspects of the fracture of engineering materials. Crosslisted with CHE, CEE, ME, and MSE 7772 .","Graduate standing required; CHE, CEE, ME, and MSE 7772"
AE 7773,Advanced Fracture Mechanics,3,"Nonlinear fracture mechanics including elastic-plastic and time-dependent fracture, advanced test methods, J-integral theory, and extensions. Crosslisted with CEE, CHE, ME, and MSE 7773 .","Graduate standing required; CEE, CHE, ME, and MSE 7773"
AE 7774,Fatigue of Materials and Structures,3,"Mechanical and microstructural aspects of nucleation and growth of cracks under cyclic loading conditions, notch effects, cumulative damage, multiaxial loading, and fatigue crack propagation. Crosslisted with CEE, CHE, ME, and MSE 7774 .","Graduate standing required; CEE, CHE, ME, and MSE 7774"
AE 7775,Topics in Fracture and Fatigue of Metallic and Composite Structures,3,"Brittle and ductile fracture criteria. Failrue prediction in composite structures. Free-edge and internal delamination. Anisotropic cracks. Fatigue behavior of composites and metal. New micromechanical models. Crosslisted with CHE, ME, and MSE 7775 .","Graduate standing required; CHE, ME, and MSE 7775"
AE 7785,Introduction to Robotics Resesarch,3,"Familiarizes students with the core areas of robotics; mechanics, control, perception, AI, and autonomy. Provides an introduction to the mathematical tools required in robotics research.",Graduate standing required
AE 7791,"Damage, Failure, and Durability of Composite Materials",3,"Analysis and failure of fiber-reinforced composite material systems.  Mechanisms of toughening, multiple cracking mechanisms.  Failure in woven fabric, braided, and special geometry composites.  Crosslisted with CHE, CEE, ME, MSE, and PTFE 7791.","Graduate standing required; CHE, CEE, ME, MSE, and PTFE 7791"
