title,description,prerequisites,prereq_text
CS 3790 - Intro-Cognitive Science,"Multidisciplinary perspectives on cognitive science. Interdisciplinary approaches to issues in cognition, including memory, language, problem solving, learning, perception, and action. Crosslisted with PST, PSYC, and ISYE 3790.",['ISYE 3790'],
CS 3801 - Special Topics,"Courses of timely interest to the profession, conducted by resident or visiting faculty.",[],
CS 3802 - Special Topics,"Courses of timely interest to the profession, conducted by resident or visiting faculty.",[],
CS 3803 - Special Topics,"Courses of timely interest to the profession, conducted by resident or visiting faculty.",[],
CS 3804 - Special Topics,"Courses of timely interest to the profession, conducted by resident or visiting faculty.",[],
CS 3805 - Special Topics,"Courses of timely interest to the profession, conducted by resident or visiting faculty.",[],
CS 3873 - Special Topics,Special Topics in Computer Science,[],
CS 4001 - Computing & Society,"Examines the role and impact of information and communication technology in society, with emphasis on ethical, professional, and public policy issues. Credit not allowed for both CS 4001 and 4002.",['CS 4001'],
CS 4002 - Robots and Society,"Examines the role and impact of robotics, distributed sensing and actuation, ubiquitous computing and related technology in society, emphasizing ethical, professional and public policy issues. Credit not allowed for both CS 4001 and 4002",['CS 4001'],
CS 4003 - AI Ethics and Society,This course covers various Artificial Intelligence and bias mitigation techniques that can be used to counterbalance the potential misuse and abuse of learning from data.,[],
CS 4005 - Next Gen Computing Tech,"Students will explore new paradigms in how content is created, distributed, and consumed, with hands-on demos of next-generation computing technologies.",['CS 2316'],CS 2316
CS 4010 - Intro to Computer Law,"Provides an introduction to copyrights, patents, trade secrets, trademarks, and commercial law pertaining to computer software and hardware.",[],
CS 4052 - Systems Analysis& Design,An introductory course on the development life cycle of business information systems.  It covers analysis and design tools and methodology.  Credit not allowed for both CS 4052 and MGT 4045.,"['CS 4052', 'MGT 4045']",
CS 4057 - Bus Process Analy&Design,Business processes are the mechanisms by which work is organized and performed. This course covers the analysis of business technology. Credit will not be awarded for both CS 4057 and MGT 4057.,"['MGT 4057', 'CS 4057', 'MGT 2200']",MGT 2200
CS 4117 - Intro Malware Rev Eng,"This course exposes students to an immersive, hands-on experience in the dissection and analysis of the code, structure, and functionality of malicious software.","['ECE 2036', 'ECE 2035', 'CS 2200']",ECE 2035 or ECE 2036 or CS 2200
CS 4210 - Adv Operating Systems,"Operating system abstractions and their implementations, multi-threading, efficient inter-address communication, high-level synchronization, introduction to multi-processor and distributed operating systems, real-time systems. Credit is not awarded for both CS 4210 and CS 6210.","['CS 3210', 'CS 4210', 'CS 6210']",CS 3210
CS 4220 - Embedded Systems,"Design principles, programming techniques, and case studies of embedded real-time systems.  Interface techniques and devices.  Representations and reasoning about physical processes.Credit not awarded for both CS 4220 and CS 6235.","['ECE 3057', 'ECE 3058', 'CS 4220', 'CS 6235', 'CS 2200']",CS 2200 or ECE 3057 or ECE 3058
CS 4233 - Parallel Comp Arch,"The objective of this course is to develop an in-depth understanding of the design, implementation, and evaluation of modern parallel computers.  Credit not allowed for both CS 4233 and CS 7110.","['CS 3210', 'CS 7110', 'CS 4233']",CS 3210
CS 4235 - Intro to Info Security,"Terms/concepts, threats, controls; problem definition; comprehensive information security model; security for operating systems, databases, network/distributed systems; administering security; legal/ethical/policy issues.  Credit not allowed for both CS 4235 and CS 6035.","['CS 6035', 'ECE 3057', 'ECE 3058', 'CS 2200', 'CS 4235']",CS 2200 or ECE 3057 or ECE 3058
CS 4237 - Comp & Network Security,"Fundamental concepts and principles of computer security, operating system and database security, secret key and public key cryptographic algorithms, hash functions, authentication, firewalls and intrusion detection systems, IPSec ad VPN, and wireless security.",['CS 3251'],CS 3251
CS 4238 - Computer Sys Security,"Trusted computing base, hardware support for protection and virtualization, authentication, access control and authorization, discretionary and mandatory security policies, secure kernel design, and secure databases. Students cannot receive credit for CS 4238 and CS 6238.","['CS 3210', 'CS 6238', 'CS 4238']",CS 3210
CS 4239 - Enterprise Cyber Mgt,"The duties and concerns of an enterprise Chief Information Security Officer including strategy, cybersecurity operations, risk management, and governance.","['CS 4725', 'CS 3235', 'CS 4235']",(CS 4235 or CS 3235 ) or CS 4725
CS 4240 - Compilers & Interpreters,"Study of techniques for the design and implementation of compilers, interpreters, and program analyzers, with consideration of the particular characteristics of widely used programming languages.",['CS 2340'],CS 2340
CS 4243 - Cyber Warfare,This course provides students with a framework for understanding cyber warfare from a technological and political standpoint.,"['CS 3237', 'PUBP 3502', 'INTA 3044', 'INTA 2040', 'CS 3235']",(CS 3235 and CS 3237 ) or INTA 3044 or INTA 2040 or PUBP 3502
CS 4245 - Intro Data Mining & Analysis,"Computational techniques for analysis of large, complex datasets, covering fundamental aspects as well as modern data mining and analysis techniques. Cross-listed with ISYE 4245.","['ISYE 4245', 'CS 1372', 'CS 1332', 'MATH 2605', 'MATH 2401', 'MATH 2411']",(MATH 2605 or MATH 2401 or MATH 2411 or MATH 24X1 ) and (CS 1332 or CS 1372 )
CS 4251 - Computer Networking II,"Principles of computer networks, including medium access, ARQ protocols, routing, congestion avoidance, and control. Emphasis on design options and tradeoffs. Includes significant network application programming.",['CS 3251'],CS 3251
CS 4255 - Intro-Network Management,Introduction to SNMP-based network management.  Practical application to network and system management including hands-on lab practice.,['CS 3251'],CS 3251
CS 4260 - Telecommunications Sys,Study of telecommunication systems emphasizing functional roles of the various portions of the system and how various functional components support and interact with one another.,"['CEE 3770', 'MATH 3225', 'MATH 3770', 'ISYE 3030', 'MATH 3670', 'ISYE 2028', 'ISYE 3770', 'MATH 3235', 'CS 2200', 'MATH 3215']",(MATH 3215 or MATH 3225 or MATH 3235 or MATH 3770 or ISYE 3770 or CEE 3770 or ISYE 2028 or ISYE 3030 or MATH 3670 ) and CS 2200
CS 4261 - Mobile Apps & Svcs,This course provides an introduction to mobile applications and services with an emphasis on voice and data service integration in modern commercial networks.,"['ECE 3058', 'ECE 3057', 'CS 2200']",CS 2200 or ECE 3057 or ECE 3058
CS 4262 - Network Security,"Fundamental concepts of network information security, including applied cryptography, secure access methods, and vulnerabilities in network protocols and network applications. Students cannot receive credit for CS 4262 and CS 6262.","['CS 3251', 'CS 6262', 'CS 4262']",CS 3251
CS 4263 - Psychol of Cybersecurity,This course will explore psychological processes relevant to cybersecurity. Students will gain an appreciation for psychological influence factors inherent in the current cyberspace environment.,[],
CS 4265 - Intro to Blockchain,"Undergraduate Introduction to Blockchain and cryptocurrencies, building on formal crypto and distributed systems.  Cover fundamental and practical aspects.  Includes programming projects and a report.","['CS 3511', 'CS 2261', 'CS 3510', 'CS 2110', 'CS 2340']",(CS 3510 or CS 3511 ) and (CS 2110 or CS 2261 or CS 2340 )
CS 4267 - Critical Infrastructures,Critical infrastructures are large cyber-physical networks essential to the well-being of the societies they serve. We study their resilience and security against a range of disruptions.,[],
CS 4270 - Data Communications Lab,"Detailed study of the principles of data transmission systems and their performance, reinforced by laboratory exercises.",['CS 3251'],CS 3251
CS 4280 - Survey-Telecom & the Law,"Overview of telecommunication regulation at the federal, state, and judicial levels; review of FCC policies and restrictions on Bell operating companies under the AT&T Consent Agreement.",[],
CS 4290 - Advanced Computer Org,"Topics concerning the hardware design of computer systems. Advanced techniques in high-performance pipelined central processing units. Memory and I/O systems. Parallel processors including shared-memory multiprocessors and cluster computers.  Credit is not allowed for both CS 4290 and any of the following courses:  CS 6290, ECE 4100, ECE 6100.","['CS 6290', 'ECE 3057', 'CS 4290', 'ECE 3058', 'ECE 4100', 'CS 2200', 'ECE 6100']",CS 2200 or ECE 3057 or ECE 3058
CS 4320 - Software Processes,The course will provide students with an overall context in which software systems are developed from the viewpoint of processes that support development.  Software engineering is described as the set of activities developers engage in to create high-quality products within schedule and budget constraints.,['CS 3300'],CS 3300
CS 4330 - Software Applications,"Software engineering methods specific to classes of applications or systems, including information systems and embedded, real-time systems.",['CS 3300'],CS 3300
CS 4342 - Software Generation,"Methods and principles for program generation, testing, and managing the evolution of software systems.",['CS 3300'],CS 3300
CS 4365 - Intro Enterprise Comp,"A survey of basic software tools and techniques used in mission-critical systems and applications, combined with in-depth study of fundamental principles underlying enterprise computing.  Credit not allowed for both 4365 and CS 6365.","['CS 3210', 'CS 6365', 'CS 4400']",CS 3210 or CS 4400
CS 4392 - Programming Languages,"Fundamentals of programming language design and theory. Topics include formal semantics and type systems for imperative, functional, and parallel languages; lambda calculus and its variants; the Curry-Howard Correspondence; techniques for proving language properties and verifying program specifications.",['CS 2340'],CS 2340
CS 4400 - Intr to Database Systems,"Comprehensive coverage of mainstream database concepts such as the entity-relationship model, relational databases, query languages, and database design methodology. Includes a project.  Credit not allowed for both CS 4400 and CS 6402.","['CS 4400', 'CS 1301', 'CS 6402', 'CS 1315', 'CS 1371']",CS 1301 or CS 1315 or CS 1371
CS 4420 - Database Sys Implement,"Study of fundamental software components/algorithms of a database system, including the file manager, query engine, lock manager, and recovery manager.  Includes a project component.  Credit not allowed for both CS 4420 and CS 6422.","['CS 4400', 'ECE 3057', 'CS 1332', 'CS 2200', 'ECE 3058', 'CS 4420', 'CS 6422']",CS 1332 and (CS 2200 or ECE 3057 or ECE 3058 ) and CS 4400
CS 4423 - Adv Database Systems,"Study of advanced topics in implementing a database system, including the query optimizer, concurrency control and recovery protocols. Includes a project component.","['ECE 3058', 'CS 2200', 'CS 4400', 'CS 1332']",CS 1332 and (CS 2200 or ECE 3058 ) and CS 4400
CS 4432 - Information Systems Dsgn,"The analysis, design, and implementation of information systems.  Topics include requirements analysis, design representations, implementation techniques, and evaluation of systems.","['CS 3300', 'CS 4400']",CS 3300 and CS 4400
CS 4440 - Database Technologies,"The course will cover current developments including distributed, object-oriented, temporal-spatial, Web-based, mobile, and active database technologies, and data warehousing and mining applications.",['CS 4400'],CS 4400
CS 4452 - Human-Centered Computing,Introduction to programming and human-centered principles of computing based on a communications and media computation context. Introduces user interface programming. Credit not awarded for both CS 4452 and CS 1315.,"['CS 4452', 'CS 1315']",
CS 4455 - Video Game Design,"Techniques for electronic game design and programming, including graphics game engines, motion generation, behavioral control for autonomous characters, interaction structure, social and interface issues of multi-user play, and the business aspects of game development.  Credit not allowed for both CS 4455 and CS 6457.","['CS 6457', 'CS 4455', 'CS 3451']",CS 3451
CS 4460 - Intro Info Visualization,"Introduction to principles and techniques of information visualization, the presentation of primarily abstract data to help people understand, analyze and make sense of data. Students cannot receive credit for both CS 4460 and CS 6730.","['CS 6730', 'CS 1332', 'CS 4460']",CS 1332
CS 4464 - Computational Journalism,A study of computational and technological advancements in journalism with emphasis on technologies for developing new tools and their potential impact on news and information.  Credit not allowed for both CS 4464 and CS 6465.,"['CS 1331', 'CS 6465', 'CS 4464']",CS 1331
CS 4470 - User Interface Software,"Concepts, techniques, structures, and strategies for implementation of interactive software. Credit not awarded for both CS 4470 and CS 6456.","['PSYC 3750', 'CS 2340', 'CS 6456', 'CS 3750', 'CS 4470']",CS 2340 and (CS 3750 or PSYC 3750 )
CS 4472 - Design of Online Comm,Introduction to the design of online communities.  Students study an existing community in depth.  Credit not allowed for both CS 4472 and CS 6470.,"['CS 6470', 'CS 4472']",
CS 4475 - Comp Photography,"An introductory course on the scientific, technical, perceptual, and aesthetic principles of pictures. Emphasis is on the techniques of image formation, analysis, merging, modification and their use for depiction of reality on a 2D medium of photographs.","['CS 1371', 'CS 1315', 'CS 1301']",CS 1301 or CS 1315 or CS 1371
CS 4476 - Intro to Computer Vision,"Introduction to computer vision including fundamentals of image formation, camera imaging geometry, feature detection and matching, stereo, motion estimation and tracking, image classification and scene understanding. Credit will not be awarded for both CS 4476 and CS 4495 or CS 6476.","['CS 3511', 'MATH 2550', 'CS 4476', 'MATH 1554', 'CS 2261', 'CS 6476', 'CS 3510', 'MATH 2605', 'CS 2110', 'CS 4495', 'MATH 1564', 'MATH 1553', 'ECE 2020', 'MATH 2551', 'MATH 2561', 'MATH 2401', 'MATH 2411', 'ECE 2035']",(MATH 2605 or MATH 2401 or MATH 24X1 or MATH 2411 or MATH 2550 or MATH 2551 or MATH 2561 or MATH 2X51 ) and (MATH 1553 or MATH 1X54 or MATH 1554 or MATH 1564 ) and ( (CS 2110 or CS 2261 ) or (ECE 2020 and ECE 2035 ) ) and (CS 3510 or CS 3511 )
CS 4480 - Digital Video Special FX,A study of digital multimedia and the analysis and synthesis of digital video.  Special attention paid to techniques for generating video special effects.,['CS 3451'],CS 3451
CS 4488 - Procedural Content Gen,"Students will learn algorithmic techniques for creating geometric models and images that can be used for games, feature films or virtual reality.","['CS 2340', 'CS 2110', 'CS 1332', 'CS 2261']",CS 1332 and (CS 2110 or CS 2261 ) and CS 2340
CS 4495 - Computer Vision,An introduction to computer vision and machine perception. An intensive study of the process of generating a symbolic description of the scene by interpretation of images(s).,"['CS 2261', 'MATH 2605', 'CS 2110', 'MATH 2401', 'MATH 2411']",(MATH 2605 or MATH 2401 or MATH 24X1 or MATH 2411 ) and (CS 2110 or CS 2261 )
CS 4496 - Computer Animation,"Motion techniques for computer animation and interactive games (keyframing, procedural methods, motion capture, and simulation) and principles for storytelling, composition, lighting, and interactivity.",['CS 3451'],CS 3451
CS 4497 - Comp Aesthetics,"Aesthetics plays a key role in society and economy.  Students will invent and test beautification algorithms for colors, music, and animations and more.",['CS 3451'],CS 3451
CS 4510 - Automata and Complexity,"Computational machine models and their language classes. Undecidability. Resource-bounded computations. Central complexity-theoretic concepts such as complexity classes, reducibility and completeness.","['CS 3511', 'MATH 3012', 'MATH 3022', 'CS 3510', 'CEE 3770', 'MATH 3225', 'MATH 3770', 'ISYE 3030', 'MATH 3670', 'ISYE 2027', 'ISYE 2028', 'ISYE 3770', 'MATH 3235', 'MATH 3215']",(CS 3510 or CS 3511 ) and (MATH 3012 or MATH 3022 ) and (MATH 3215 or MATH 3235 or MATH 3225 or MATH 3770 or MATH 3670 or CEE 3770 or ISYE 3770 or (ISYE 2027 and (ISYE 2028 or ISYE 3030 ) ) )
CS 4520 - Approximation Algs,"Approximation algorithms for NP-hard optimization problems, design and analysis techniques for such algorithms.  Credit not allowed for both CS 4520 and CS 7520.","['CS 4520', 'CS 7520', 'CS 4540']",CS 4540
CS 4530 - Randomized Algs,"Efficient randomized algorithms with improved performance over deterministic algorithms, or for NP-hard optimization problems, design and analysis techniques for such algorithms.  Credit not allowed for both CS 4530 and CS 7530.","['CS 7530', 'CS 4540', 'CS 4530']",CS 4540
CS 4540 - Advanced Algs,"Advanced techniques for designing and analyzing efficient algorithms for combinatorial, algebraic, and number theoretic problems.  Credit not allowed for both CS 4540 and CS 6505 or CS 4540 and CS 6515.","['CS 3511', 'CS 4540', 'MATH 3012', 'MATH 3022', 'CS 3510', 'CEE 3770', 'CS 6515', 'MATH 3225', 'MATH 3770', 'ISYE 3030', 'MATH 3670', 'ISYE 3770', 'ISYE 2027', 'ISYE 2028', 'CS 6505', 'MATH 3235', 'MATH 3215']",(CS 3510 or CS 3511 ) and (MATH 3012 or MATH 3022 ) and (MATH 3215 or MATH 3235 or MATH 3225 or MATH 3770 or MATH 3670 or CEE 3770 or ISYE 3770 or (ISYE 2027 and (ISYE 2028 or ISYE 3030 ) ) )
CS 4550 - Scientific Visualization,"Foundations and algorithms underlying the development and application of tools for the efficient transmission, analysis, filtering, and visualization of large scientific data sets.",['CS 3451'],CS 3451
CS 4560 - Verification of Systems,"Technique for verifying, validating and testing software and hardware systems. Topics covered will include modeling, abstraction methods, evaluation and certification, and computer-aided verification methods.","['CS 1050', 'CS 3510']",CS 1050 and CS 3510
CS 4590 - Computer Audio,"A well-rounded exploration of digital audio and its importance in current research and applications. Exposes students to the principles, technology, and current research of computer audio.",[],
CS 4605 - Mobile&Ubiquitous Comp,Investigates the infrastructure required to develop mobile and ubiquitous computing applications and establishes major research themes and experimental practices.Credit not awarded for both CS 4605 and CS 7470.,"['CS 2261', 'CS 7470', 'CS 2110', 'ECE 2020', 'CS 4605', 'ECE 2035']",CS 2110 or CS 2261 or (ECE 2020 and ECE 2035 )
CS 4611 - AI Problem Solving,"Basic concepts and methods of AI problem solving, knowledge representation, reasoning, and learning.",['CS 3600'],CS 3600
CS 4613 - Knowledge Systems Engr,Techniques for constructing large knowledge-based systems. Advanced symbolic AI techniques. Constraint systems.,['CS 3600'],CS 3600
CS 4615 - Knowledge-Based Modl&Dgn,"Information-processing theories of modeling and design; topics include design decision-making, problem-solving and learning, and knowledge-based modeling and design.",['CS 3600'],CS 3600
CS 4616 - Pattern Recognition,"An introductory course on pattern classification and decision problems with applications to character recognition, image analysis, and speech recognition.",['CS 1331'],CS 1331
CS 4622 - Case-Based Reasoning,"Based on human problem-solving, CBR has had many successes in industry and research.  Topics include case representation, indexing and retrieval, similarity assessment, adaptation, learning.  Credit not allowed for both CS 4622 and CS 7620.","['CS 3600', 'CS 4622', 'CS 7620']",CS 3600
CS 4625 - Intel & Interactive Sys,Explores how human-computer interaction and machine learning can interact to create personalized information environments. Emphasis on current research efforts from both fields.,['CS 1331'],CS 1331
CS 4632 - Adv Intelligent Robotics,Hands-on course in which students program autonomous mobile robots and solve complex tasks for robot teams.,['CS 3630'],CS 3630
CS 4635 - Knowledge-Based AI,"Structured knowledge representation; knowledge-based methods of reasoning and learning; problem-solving, modeling and design.",['CS 3600'],CS 3600
